## 人工标注数据

| content                                                      | 是否正负样本 | 关键词                   | 类型     |
| ------------------------------------------------------------ | ------------ | ------------------------ | -------- |
| 【建设银行】您账户8699于3月24日12时22分向微信支付-扫二维码付款支出人民币15元,可用余额5433.72元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月24日12时11分向支付宝-天猫-深圳市升景科技有限公司支出人民币1889元,可用余额5465.6元。 | FALSE        | 可用余额                 |          |
| 【建设银行】您账户8699于3月24日12时11分向支付宝-天弘基金管理有限公司支出人民币16.88元,可用余额5448.72元。 | FALSE        | 可用余额                 |          |
| 【驿收发】您的京东包裹已到惜福堂对面快递驿站，请21:00前凭2-0147来取，详询16675200600 | TRUE         | 驿站、包裹、取件         | 包裹物流 |
| 【中国农业银行】为您特别准备了一份专属月度账单，登掌银搜“月度账单”或戳  go.abchina.com/k/CS7 查收。拒收请回复R | FALSE        | 拒收                     |          |
| 【中国农业银行】充话费最高减20元，本月登掌银【城市专区-优惠立减】或点  go.abchina.com/k/C05 先到先得。拒收请回复R | FALSE        | 拒收                     |          |
| 刻刻:  【火山引擎】亲爱的用户，您有千万DeepSeek模型额度待领取哦！每邀请1位新用户注册和使用，最高可获得130元代金券，多邀多得上不封顶！点击下载海报，分享到更多渠道：szacq.cn/ewyeb/  拒收请回复R | FALSE        | 拒收                     |          |
| M丶D:  【阿里云推广】尊敬的mandahuang，老友季钜惠！云服务器  99元/年，新购续费同享！戳>>https://t.aliyun.com/TIFqsCZY 立即抢购！ 拒收请回复R | FALSE        | 拒收                     |          |
| 王斯煜[表情]Vince  黑客松nv: 【AlipayHK】於3月19日 08:15需要通過Apple 服務(Apple services)待付款支付HKD8.00 | TRUE         | 账单、待付款             | 支付     |
| [2条]李JK老师-1228:  【百度】亲爱的开发者您好，文心智能体年底送福利，即日起至12月30日，创建并提交您的智能体，即有机会获得现金卡福利，最高500元，多档奖励，中奖机会大！登陆天数越多，创建有创意，中奖率越高！福利倒计时！点击参与！https://agents.baidu.com/activity/detail/13 | FALSE        | 送福利、有机会           |          |
| [5条]LJK86:  【百度】亲爱的开发者您好，文心智能体年底送福利，即日起至12月30日，创建并提交您的智能体，即有机会获得现金卡福利，最高500元，多档奖励，中奖机会大！登陆天数越多，创建有创意，中奖率越高！福利倒计时！点击参与！https://agents.baidu.com/activity/detail/13 | FALSE        | 送福利、有机会           |          |
